English,Tamil,Malayalam,Telugu,Hindi
temple,கோவில்,ക്ഷേത്രം,మందిరము,मंदिर
outdoor,வெளிப்புற,ഔട്ട്ഡോർ,బాహ్య,घर के बाहर
suck,உறிஞ்சு,മുലകുടിക്കുക,పీలుస్తుంది,चूसना
and/or,மற்றும்/அல்லது,കൂടാതെ/അല്ലെങ്കിൽ,మరియు/లేదా,और/या
broadcast,ஒளிபரப்பு,പ്രക്ഷേപണം,ప్రసార,प्रसारण
re,மறு,വീണ്ടും,తిరిగి,दोबारा
leap,பாய்ச்சல்,കുതിച്ചുചാട്ടം,అల్లరి,छलाँग
random,சீரற்ற,ക്രമരഹിതമായ,యాదృచ్ఛికంగా,यादृच्छिक
wrist,மணிக்கட்டு,കൈത്തണ്ട,మణికట్టు,कलाई
curtain,திரைச்சீலை,തിരശ്ശീല,కనాతి,परदा
pond,குளம்,പൊയ്ക,చెరువు,तालाब
domain,களம்,ഡൊമെയ്ൻ,డొమైన్,कार्यक्षेत्र
guilt,குற்ற உணர்வு,കുറ്റബോധം,అపరాధం,अपराध
cattle,கால்நடைகள்,കന്നുകാലികൾ,పశువులు,पशु
walking,நடைபயிற்சி,നടക്കുന്നു,నడవడం,चलना
playoff,பிளேஆஃப்,പ്ലേ ഓഫ്,ప్లేఆఫ్,भिड़ा देना
minimum,குறைந்தபட்சம்,ഏറ്റവും കുറഞ്ഞത്,కనీస,न्यूनतम
fiscal,நிதி,സാമ്പത്തിക,ఆర్థిక,राजकोषीय
skirt,பாவாடை,പാവാട,లంగా,स्कर्ट
dump,திணிப்பு,തള്ളുക,డంప్,गंदी जगह
hence,எனவே,അതിനാൽ,అందుకే,इस तरह
database,தரவுத்தளம்,ഡാറ്റാബേസ്,డేటాబేస్,डेटाबेस
uncomfortable,சங்கடமான,അസുഖകരമായ,అసౌకర్యంగా,असुविधाजनक
execute,செயல்படுத்த,നിർവ്വഹിക്കുക,అమలు,निष्पादित करना
limb,மூட்டு,അവയവം,అవయవం,अंग
ideology,சித்தாந்தம்,പ്രത്യയശാസ്ത്രം,భావజాలం,विचारधारा
tune,இசைக்கு,ട്യൂൺ ചെയ്യുക,ట్యూన్,तराना
continuing,தொடர்கிறது,തുടരുന്നു,కొనసాగుతోంది,CONTINUING
harm,தீங்கு,ദോഷം,హాని,चोट
railroad,இரயில் பாதை,റെയിൽവേ,రైలుమార్గం,रेल
endure,தாங்க,സഹിക്കുക,భరిస్తారు,सहन करना
radiation,கதிர்வீச்சு,വികിരണം,రేడియేషన్,विकिरण
horn,கொம்பு,കൊമ്പ്,కొమ్ము,सींग
chronic,நாள்பட்ட,വിട്ടുമാറാത്ത,దీర్ఘకాలికమైన,दीर्घकालिक
peaceful,அமைதியான,സമാധാനപരമായ,శాంతియుతమైనది,शांतिपूर्ण
innovation,புதுமை,നവീകരണം,ఆవిష్కరణ,नवाचार
strain,திரிபு,ബുദ്ധിമുട്ട്,జాతి,छानना
guitar,கிட்டார்,ഗിറ്റാർ,గిటార్,गिटार
replacement,மாற்று,മാറ്റിസ്ഥാപിക്കൽ,భర్తీ,प्रतिस्थापन
behave,நடந்துகொள்,പെരുമാറുക,ప్రవర్తిస్తారు,व्यवहार
administer,நிர்வாகி,ഭരണം നടത്തുക,పరిపాలించు,प्रशासन
simultaneously,ஒரே நேரத்தில்,ഒരേസമയം,ఏకకాలంలో,इसके साथ ही
dancer,நடனமாடுபவர்,നർത്തകി,నర్తకి,नर्तकी
amendment,திருத்தம்,ഭേദഗതി,సవరణ,संशोधन
pad,திண்டு,പാഡ്,ప్యాడ్,तकती
transmission,பரவும் முறை,പകർച്ച,ఒకరి నుండి ఒకరికి వ్యాధి ప్రబలడం,संचरण
await,காத்திருங்கள்,പതീക്ഷിച്ചിരിക്കുക,వేచి ఉండండి,इंतजार
retired,ஓய்வு பெற்றார்,വിരമിച്ചു,పదవీ విరమణ చేశారు,सेवानिवृत्त
trigger,தூண்டுதல்,ട്രിഗർ,ట్రిగ్గర్,चालू कर देना
spill,கசிவு,ചോർച്ച,చిందించు,फैल
grateful,நன்றியுடன்,നന്ദിയുള്ള,కృతజ్ఞతతో,आभारी
grace,கருணை,കൃപ,దయ,अनुग्रह
virtual,மெய்நிகர்,വെർച്വൽ,వర్చువల్,आभासी
colony,காலனி,കോളനി,కాలనీ,कालोनी
adoption,தத்தெடுப்பு,ദത്തെടുക്കൽ,దత్తత,दत्तक ग्रहण
indigenous,உள்நாட்டு,തദ്ദേശീയമായ,స్వదేశీ,स्वदेशी
closed,மூடப்பட்டது,അടച്ചു,మూసివేయబడింది,बंद किया हुआ
convict,குற்றவாளி,കുറ്റവാളി,దోషి,मिद्धदोष अपराधी
towel,துண்டு,ടവൽ,టవల్,तौलिया
modify,மாற்றியமைக்க,പരിഷ്ക്കരിക്കുക,సవరించు,संशोधित
particle,துகள்,കണം,కణం,कण
prize,பரிசு,സമ്മാനം,బహుమతి,पुरस्कार
landing,இறங்கும்,ലാൻഡിംഗ്,ల్యాండింగ్,अवतरण
boost,ஊக்கம்,ബൂസ്റ്റ്,పెంచండి,बढ़ाना
bat,வௌவால்,വവ്വാൽ,బ్యాట్,बल्ला
alarm,எச்சரிக்கை,അലാറം,అలారం,खतरे की घंटी
festival,திருவிழா,ഉത്സവം,పండుగ,त्योहार
grip,பிடியில்,പിടി,పట్టు,पकड़
weird,வித்தியாசமான,വിചിത്രമായ,అసహజ,अजीब
undermine,குறைமதிப்பிற்கு உட்படுத்துகின்றன,അടിത്തറതോണ്ടുക,అణగదొక్కండి,कमजोर
freshman,புதியவர்,പുതുമുഖം,కొత్తవాడు,नए
sweat,வியர்வை,വിയർപ്പ്,చెమట,पसीना
outer,வெளி,പുറം,బయటి,आउटर
drunk,குடித்துவிட்டு,മദ്യപിച്ചു,తాగిన,पिया हुआ
separation,பிரித்தல்,വേർപിരിയൽ,వేరు,पृथक्करण
traditionally,பாரம்பரியமாக,പരമ്പരാഗതമായി,సాంప్రదాయకంగా,पारंपरिक रूप से
govern,ஆட்சி,ഭരിക്കുന്നു,పాలించు,को नियंत्रित करने वाले
southeast,தென்கிழக்கு,തെക്കുകിഴക്ക്,ఆగ్నేయం,दक्षिण पूर्व
intelligent,புத்திசாலி,ബുദ്ധിയുള്ള,తెలివైన,बुद्धिमान
wherever,எங்கும்,എവിടെയായിരുന്നാലും,ఎక్కడైనా,जहां कहीं भी
ballot,வாக்குச்சீட்டு,ബാലറ്റ്,బ్యాలెట్,मतदान
rhetoric,சொல்லாட்சி,വാചാടോപം,వాక్చాతుర్యం,वक्रपटुता
convinced,நம்பினார்,ബോധ്യപ്പെടുത്തി,ఒప్పించింది,कायल
driving,ஓட்டுதல்,ഡ്രൈവിംഗ്,డ్రైవింగ్,ड्राइविंग
vitamin,வைட்டமின்,വിറ്റാമിൻ,విటమిన్,विटामिन
enthusiasm,உற்சாகம்,ആവേശം,అత్యుత్సాహం,उत्साह
accommodate,இடமளிக்க,താമസിപ്പിക്കുക,వసతి కల్పిస్తాయి,समायोजित करना
praise,பாராட்டு,സ്തുതി,ప్రశంసలు,प्रशंसा
injure,காயப்படுத்து,മുറിവേൽപ്പിക്കുക,గాయపరచు,घायल
wilderness,வனப்பகுதி,മരുഭൂമി,అరణ్యం,जंगल
endless,முடிவில்லாத,അനന്തമായ,అంతులేని,अनंत
mandate,ஆணை,ജനവിധി,ఆదేశం,शासनादेश
respectively,முறையே,യഥാക്രമം,వరుసగా,क्रमश:
uncertainty,நிச்சயமற்ற தன்மை,അനിശ്ചിതത്വം,అనిశ్చితి,अनिश्चितता
chaos,குழப்பம்,കുഴപ്പം,గందరగోళం,अव्यवस्था
mechanical,இயந்திரவியல்,മെക്കാനിക്കൽ,యాంత్రిక,यांत्रिक
canvas,கேன்வாஸ்,ക്യാൻവാസ്,కాన్వాస్,कैनवास
forty,நாற்பது,നാല്പത്,నలభై,चालीस
lobby,லாபி,ലോബി,లాబీ,लॉबी
profound,ஆழமான,അഗാധമായ,లోతైన,गहरा
format,வடிவம்,ഫോർമാറ്റ്,ఫార్మాట్,प्रारूप
trait,பண்பு,സ്വഭാവം,లక్షణం,प्रवृत्ति
currency,நாணய,കറൻസി,కరెన్సీ,मुद्रा
turkey,வான்கோழி,ടർക്കി,టర్కీ,टर्की
reserve,இருப்பு,കരുതൽ,రిజర్వ్,संरक्षित
beam,உத்திரம்,ബീം,పుంజం,खुशी से उछलना
astronomer,வானியலாளர்,ജ്യോതിശാസ്ത്രജ്ഞൻ,ఖగోళ శాస్త్రవేత్త,खगोल विज्ञानी
corruption,ஊழல்,അഴിമതി,అవినీతి,भ्रष्टाचार
contractor,ஒப்பந்ததாரர்,കരാറുകാരൻ,కాంట్రాక్టర్,ठेकेदार
apologize,மன்னிக்கவும்,ക്ഷമയാചിക്കുക,క్షమాపణ చెప్పండి,क्षमा माँगना
doctrine,கோட்பாட்டை,ഉപദേശം,సిద్దాంతము,सिद्धांत
genuine,நேர்மையான,യഥാർത്ഥമായ,నిజమైన,असली
thumb,கட்டைவிரல்,പെരുവിരൽ,బొటనవేలు,अँगूठा
unity,ஒற்றுமை,ഐക്യം,ఐక్యత,एकता
compromise,சமரசம்,വിട്ടുവീഴ്ച,రాజీ,समझौता
horrible,பயங்கரமான,ഭയാനകമായ,భయంకరమైన,भयंकर
behavioral,நடத்தை,പെരുമാറ്റം,ప్రవర్తనాపరమైన,व्यवहार
exclusive,பிரத்தியேகமானது,എക്സ്ക്ലൂസീവ്,ప్రత్యేకమైనది,अनन्य
scatter,சிதறல்,ചിന്നിച്ചിതറുക,చెల్లాచెదురు,बिखराव
commonly,பொதுவாக,സാധാരണയായി,సాధారణంగా,आमतौर
convey,தெரிவிக்கின்றன,അറിയിക്കുക,తెలియచేస్తాయి,बताना
twist,திருப்பம்,വളച്ചൊടിക്കുക,ట్విస్ట్,मोड़
complexity,சிக்கலானது,സങ്കീർണ്ണത,సంక్లిష్టత,जटिलता
fork,முள் கரண்டி,നാൽക്കവല,ఫోర్క్,काँटा
disk,வட்டு,ഡിസ്ക്,డిస్క్,डिस्क
relieve,நிவாரணம்,ആശ്വാസം,ఉపశమనం,राहत देना
suspicion,சந்தேகம்,സംശയം,అనుమానం,संदेह
health-care,சுகாதார பராமரிப்பு,ആരോഗ്യ പരിരക്ഷ,ఆరోగ్య సంరక్షణ,स्वास्थ्य देखभाल
residence,குடியிருப்பு,താമസം,నివాసం,निवास स्थान
shame,அவமானம்,നാണക്കേട്,అవమానం,शर्म करो
meaningful,அர்த்தமுள்ள,അർത്ഥവത്തായ,అర్థవంతమైన,सार्थक
sidewalk,நடைபாதை,നടപ്പാത,కాలిబాట,फ़ुटपाथ
Olympics,ஒலிம்பிக்,ഒളിമ്പിക്സ്,ఒలింపిక్స్,ओलिंपिक
technological,தொழில்நுட்ப,സാങ്കേതികമായ,సాంకేతిక,तकनीकी
signature,கையெழுத்து,കയ്യൊപ്പ്,సంతకం,हस्ताक्षर
pleasant,இனிமையான,പ്രസന്നമായ,ఆహ్లాదకరమైన,सुखद
wow,ஆஹா,വൗ,వావ్,बहुत खूब
suspend,இடைநீக்கம்,സസ്പെൻഡ് ചെയ്യുക,సస్పెండ్,निलंबित
rebel,கிளர்ச்சியாளர்,വിമത,తిరుగుబాటు,बागी
frozen,உறைந்த,മരവിച്ചു,ఘనీభవించిన,जमा हुआ
spouse,மனைவி,ഇണ,జీవిత భాగస్వామి,जीवनसाथी
fluid,திரவம்,ദ്രാവകം,ద్రవం,तरल पदार्थ
pension,ஓய்வூதியம்,പെൻഷൻ,పెన్షన్,पेंशन
resume,தற்குறிப்பு,പുനരാരംഭിക്കുക,పునఃప్రారంభం,फिर शुरू करना
theoretical,தத்துவார்த்த,സൈദ്ധാന്തിക,సిద్ధాంతపరమైన,सैद्धांतिक
sodium,சோடியம்,സോഡിയം,సోడియం,सोडियम
promotion,பதவி உயர்வு,പ്രമോഷൻ,ప్రమోషన్,पदोन्नति
delicate,மென்மையானது,അതിലോലമായ,సున్నితమైన,नाज़ुक
forehead,நெற்றி,നെറ്റി,నుదిటి,माथा
rebuild,மீண்டும் உருவாக்க,പുനർനിർമ്മിക്കുക,పునర్నిర్మాణం,पुनर्निर्माण
bounce,துள்ளல்,കുതിച്ചുയരുക,బౌన్స్,उछलना
electrical,மின்,ഇലക്ട്രിക്കൽ,విద్యుత్,विद्युतीय
hook,கொக்கி,കൊളുത്ത്,హుక్,अंकुश
detective,துப்பறியும்,ഡിറ്റക്ടീവ്,డిటెక్టివ్,जासूसी
traveler,பயணி,സഞ്ചാരി,యాత్రికుడు,यात्री
click,கிளிக் செய்யவும்,ക്ലിക്ക് ചെയ്യുക,క్లిక్ చేయండి,क्लिक
compensation,இழப்பீடு,നഷ്ടപരിഹാരം,పరిహారం,मुआवज़ा
exit,வெளியேறு,പുറത്ത്,బయటకి దారి,बाहर निकलना
attraction,ஈர்ப்பு,ആകർഷണം,ఆకర్షణ,आकर्षण
dedicate,அர்ப்பணிக்க,സമർപ്പിക്കുക,అంకితం,समर्पित करना
altogether,முற்றிலும்,മൊത്തത്തിൽ,పూర్తిగా,कुल मिलाकर
pickup,இடும்,പുരോഗമിക്കുക,తీసుకోవడం,उठाना
carve,செதுக்கும்,കൊത്തുക,చెక్కు,उत्कीर्ण
needle,ஊசி,സൂചി,సూది,सुई
belly,தொப்பை,വയറ്,బొడ్డు,पेट
scare,பயமுறுத்தும்,ഭയപ്പെടുത്തുക,భయ పెట్టు,डराना
portfolio,போர்ட்ஃபோலியோ,പോർട്ട്ഫോളിയോ,పోర్ట్‌ఫోలియో,पोर्टफोलियो
shuttle,விண்கலம்,ഷട്ടിൽ,షటిల్,शटल
invisible,கண்ணுக்கு தெரியாத,അദൃശ്യമായ,అదృశ్య,अदृश्य
timing,நேரம்,സമയത്തിന്റെ,టైమింగ్,समय
engagement,நிச்சயதார்த்தம்,വിവാഹനിശ്ചയം,నిశ్చితార్థం,सगाई
ankle,கணுக்கால்,കണങ്കാല്,చీలమండ,टखना
transaction,பரிவர்த்தனை,ഇടപാട്,లావాదేవీ,लेन-देन
rescue,மீட்பு,രക്ഷാപ്രവർത്തനം,రక్షించు,बचाव
counterpart,இணை,എതിരാളി,ప్రతిరూపం,समकक्ष
historically,வரலாற்று ரீதியாக,ചരിത്രപരമായി,చారిత్రాత్మకంగా,ऐतिहासिक
firmly,உறுதியாக,ഉറച്ചു,దృఢంగా,दृढ़ता से
mild,லேசான,സൗമമായ,తేలికపాటి,हल्का
rider,சவாரி செய்பவர்,റൈഡർ,రైడర్,सवार
doll,பொம்மை,പാവ,బొమ్మ,गुड़िया
noon,நண்பகல்,ഉച്ച,మధ్యాహ్నం,दोपहर
amid,மத்தியில்,നടുവിൽ,మధ్య,के बीच
identical,ஒரே மாதிரியான,സമാനമായ,ఒకేలా,समान
precise,துல்லியமான,കൃത്യമായ,ఖచ్చితమైన,सटीक
anxious,கவலையுடன்,ഉത്കണ്ഠാജനകമായ,ఆత్రుతగా,चिंतित
structural,கட்டமைப்பு,ഘടനാപരമായ,నిర్మాణ,संरचनात्मक
residential,குடியிருப்பு,വാസയോഗ്യമായ,నివాస,आवासीय
diagnose,கண்டறிதல்,രോഗനിർണയം,నిర్ధారణ,का निदान
carbohydrate,கார்போஹைட்ரேட்,കാർബോഹൈഡ്രേറ്റ്,కార్బోహైడ్రేట్,कार्बोहाइड्रेट
liberty,சுதந்திரம்,സ്വാതന്ത്ര്യം,స్వేచ్ఛ,स्वतंत्रता
poster,சுவரொட்டி,പോസ്റ്റർ,పోస్టర్,पोस्टर
theology,இறையியல்,ദൈവശാസ്ത്രം,వేదాంతశాస్త్రం,धर्मशास्र
nonprofit,இலாப நோக்கற்ற,ലാഭേച്ഛയില്ലാത്തത്,లాభాపేక్ష లేనిది,ग़ैर-लाभकारी
crawl,வலம்,ഇഴയുക,క్రాల్,घुटनों के बल चलना
oxygen,ஆக்ஸிஜன்,ഓക്സിജൻ,ఆక్సిజన్,ऑक्सीजन
handsome,அழகான,സുന്ദരൻ,అందగాడు,आकर्षक
sum,தொகை,തുക,మొత్తం,जोड़
provided,வழங்கப்படும்,നൽകിയത്,అందించబడింది,प्रदान किया
businessman,தொழிலதிபர்,വ്യവസായി,వ్యాపారవేత్త,व्यवसायी
promising,உறுதியளிக்கிறது,വാഗ്ദാനം ചെയ്യുന്നു,ఆశాజనకంగా,का वादा
conscious,உணர்வுள்ள,ബോധമുള്ള,చేతనైన,सचेत
determination,உறுதியை,ദൃഢനിശ്ചയം,సంకల్పం,दृढ़ निश्चय
donor,நன்கொடையாளர்,ദാതാവിന്,దాత,दाता
hers,அவளது,അവളുടെ,ఆమెది,उसकी
pastor,ஆடு மேய்ப்பவர்,പാസ്റ്റർ,పాస్టర్,पादरी
jazz,ஜாஸ்,ജാസ്,జాజ్,जाज
opera,ஓபரா,ഓപ്പറ,ఒపేరా,ओपेरा
acquisition,கையகப்படுத்தல்,കൈവശപ്പെടുത്തൽ,సముపార్జన,अधिग्रहण
pit,குழி,കുഴി,గొయ్యి,गड्ढा
hug,கட்டிப்பிடி,ആലിംഗനം,కౌగిలింత,आलिंगन
wildlife,வனவிலங்குகள்,വന്യജീവി,వన్యప్రాణులు,वन्य जीवन
punish,தண்டிக்க,ശിക്ഷിക്കുക,శిక్షించండి,सज़ा देना
equity,பங்கு,ഇക്വിറ്റി,ఈక్విటీ,हिस्सेदारी
doorway,வாசல்,വാതിൽ,ద్వారం,द्वार
departure,புறப்பாடு,പുറപ്പെടൽ,నిష్క్రమణ,प्रस्थान
elevator,உயர்த்தி,എലിവേറ്റർ,ఎలివేటర్,लिफ़्ट
teenage,பதின்ம வயது,കൗമാരം,యుక్తవయస్సు,किशोर
guidance,வழிகாட்டல்,മാർഗദർശനം,మార్గదర్శకత్వం,मार्गदर्शन
happiness,மகிழ்ச்சி,സന്തോഷം,ఆనందం,ख़ुशी
statue,சிலை,പ്രതിമ,విగ్రహం,मूर्ति
pursuit,நோக்கத்தில்,പിന്തുടരൽ,ముసుగులో,काम
repair,பழுது,നന്നാക്കൽ,మరమ్మత్తు,मरम्मत
decent,ஒழுக்கமான,മാന്യമായ,మంచి,शालीन
gym,உடற்பயிற்சி கூடம்,ജിം,వ్యాయామశాల,जिम
oral,வாய்வழி,വാക്കാലുള്ള,మౌఖిక,मौखिक
clerk,குமாஸ்தா,ഗുമസ്തൻ,గుమాస్తా,लिपिक
envelope,உறை,കവര്,కవచ,लिफ़ाफ़ा
reporting,அறிக்கையிடுதல்,റിപ്പോർട്ടിംഗ്,నివేదించడం,रिपोर्टिंग
destination,இலக்கு,ലക്ഷ്യസ്ഥാനം,గమ్యం,गंतव्य
fist,முஷ்டி,മുഷ്ടി,పిడికిలి,मुट्ठी
endorse,ஒப்புதல்,അംഗീകരിക്കുക,ఆమోదించు,समर्थन
exploration,ஆய்வு,പര്യവേക്ഷണം,అన్వేషణ,अन्वेषण
generous,தாராள,ഉദാരമതി,ఉదారంగా,उदार
bath,குளியல்,കുളി,స్నానం,नहाना
thereby,அதன் மூலம்,അതുവഴി,తద్వారా,जिसके चलते
indicator,காட்டி,സൂചകം,సూచిక,सूचक
sunlight,சூரிய ஒளி,സൂര്യപ്രകാശം,సూర్యకాంతి,सूरज की रोशनी
feedback,பின்னூட்டம்,പ്രതികരണം,అభిప్రాయం,प्रतिक्रिया
spectrum,ஸ்பெக்ட்ரம்,സ്പെക്ട്രം,స్పెక్ట్రం,स्पेक्ट्रम
purple,ஊதா,ധൂമ്രനൂൽ,ఊదా,बैंगनी
laser,லேசர்,ലേസർ,లేజర్,लेज़र
bold,தைரியமான,ധീരമായ,బోల్డ్,बोल्ड
reluctant,தயக்கம்,വിമുഖത,అయిష్టంగా,अनिच्छुक
starting,தொடங்குகிறது,തുടങ്ങുന്ന,ప్రారంభిస్తోంది,शुरुआत
expertise,நிபுணத்துவம்,വൈദഗ്ധ്യം,నైపుణ్యం,विशेषज्ञता
practically,நடைமுறையில்,പ്രായോഗികമായി,ఆచరణాత్మకంగా,वास्तव में
eating,உண்ணுதல்,തിന്നുന്നു,ఆహారపు,खाना
hint,குறிப்பு,സൂചന,సూచన,संकेत देना
sharply,கூர்மையாக,കുത്തനെ,పదునుగా,तेज़ी से
parade,அணிவகுப்பு,പരേഡ്,కవాతు,परेड
realm,சாம்ராஜ்யம்,സാമ്രാജ്യം,రాజ్యం,क्षेत्र
cancel,ரத்து செய்,റദ്ദാക്കുക,రద్దు చేయండి,रद्द करना
blend,கலவை,യോജിപ്പിക്കുക,కలపండి,मिलाना
therapist,சிகிச்சையாளர்,തെറാപ്പിസ്റ്റ്,చికిత్సకుడు,चिकित्सक
peel,தலாம்,പീൽ,పొట్టు,छीलना
pizza,பீஸ்ஸா,പിസ്സ,పిజ్జా,पिज़्ज़ा
recipient,பெறுபவர்,സ്വീകർത്താവ്,గ్రహీత,प्राप्तकर्ता
hesitate,தயங்க,മടിക്കുക,సంకోచించండి,संकोच करना
flip,புரட்டவும்,ഫ്ലിപ്പ്,కుదుపు,पलटना
accounting,கணக்கியல்,അക്കൌണ്ടിംഗ്,అకౌంటింగ్,लेखांकन
bias,சார்பு,പക്ഷപാതം,పక్షపాతం,पक्षपात
huh,ஹூ,ഹഹ്,హుహ్,हुह
metaphor,உருவகம்,ഭാവാര്ത്ഥം,రూపకం,रूपक
candle,மெழுகுவர்த்தி,മെഴുകുതിരി,కొవ్వొత్తి,मोमबत्ती
judicial,நீதித்துறை,ജുഡീഷ്യൽ,న్యాయపరమైన,अदालती
entity,நிறுவனம்,സ്ഥാപനം,అస్తిత్వం,इकाई
suffering,துன்பம்,കഷ്ടപ്പാടുകൾ,బాధ,कष्ट
full-time,முழு நேரம்,മുഴുവൻ സമയവും,పూర్తి సమయం,पूरा समय
lamp,விளக்கு,വിളക്ക്,దీపం,चिराग
garbage,குப்பை,മാലിന്യം,చెత్త,कचरा
servant,வேலைக்காரன்,സേവകൻ,సేవకుడు,नौकर
regulatory,ஒழுங்குமுறை,റെഗുലേറ്ററി,నియంత్రణ,नियामक
diplomatic,இராஜதந்திர,നയതന്ത്രപരമായ,దౌత్యపరమైన,कूटनीतिक
elegant,நேர்த்தியான,ഗംഭീരമായ,సొగసైన,सुरुचिपूर्ण
reception,வரவேற்பு,സ്വീകരണം,రిసెప్షన్,स्वागत
vanish,மறைந்துவிடும்,അപ്രത്യക്ഷമാകുന്നു,అదృశ్యం,गायब होना
automatically,தானாக,ഓട്ടോമാറ്റിയ്ക്കായി,స్వయంచాలకంగా,खुद ब खुद
chin,கன்னம்,താടി,గడ్డం,ठोड़ी
necessity,தேவை,ആവശ്യം,అవసరం,ज़रूरत
confess,ஒப்புக்கொள்,ഏറ്റുപറയുക,అంగీకరిస్తున్నాను,अपराध स्वीकार करना
racism,இனவெறி,വംശീയത,జాత్యహంకారం,जातिवाद
starter,ஸ்டார்டர்,സ്റ്റാർട്ടർ,స్టార్టర్,स्टार्टर
banking,வங்கியியல்,ബാങ്കിംഗ്,బ్యాంకింగ్,बैंकिंग
casual,சாதாரண,കാഷ്വൽ,సాధారణం,अनौपचारिक
gravity,புவியீர்ப்பு,ഗുരുത്വാകർഷണം,గురుత్వాకర్షణ,गुरुत्वाकर्षण
enroll,பதிவு செய்யுங்கள்,എൻറോൾ ചെയ്യുക,నమోదు చేయండి,नामांकन
diminish,நலிவடையும்,കുറയ്ക്കുക,తగ్గుతాయి,घटाना
prevention,தடுப்பு,പ്രതിരോധം,నివారణ,रोकथाम
minimize,குறைக்க,ചെറുതാക്കുക,తగ్గించడానికి,छोटा करना
chop,நறுக்கு,മുളകും,చాప్,काटना
performer,நிகழ்த்துபவர்,അവതാരകൻ,ప్రదర్శకుడు,अभिनेता
intent,நோக்கம்,ഉദ്ദേശത്തോടെ,ఉద్దేశం,इरादा
isolate,தனிமைப்படுத்து,ഒറ്റപ്പെടുത്തുക,ఒంటరిగా,अलग
inventory,சரக்கு,ഇൻവെന്ററി,జాబితా,भंडार
productive,உற்பத்தி,ഉത്പാദകമായ,ఉత్పాదక,उत्पादक
assembly,சட்டசபை,അസംബ്ലി,అసెంబ్లీ,विधानसभा
civic,குடிமை,പൗരൻ,పౌర,नागरिक
silk,பட்டு,പട്ട്,పట్టు,रेशम
magnitude,அளவு,വലിപ്പം,పరిమాణం,परिमाण
steep,செங்குத்தான,കുത്തനെയുള്ള,నిటారుగా,खड़ी
hostage,பணயக்கைதி,ബന്ദി,బందీ,बंधक
collector,ஆட்சியர்,കളക്ടർ,కలెక్టర్,एकत्र करनेवाला
popularity,புகழ்,ജനപ്രീതി,ప్రజాదరణ,लोकप्रियता
alien,அன்னிய,അന്യഗ്രഹജീവി,పరాయి,विदेशी
dynamic,மாறும்,ചലനാത്മകം,డైనమిక్,गतिशील
scary,பயமுறுத்தும்,ഭീതിദമാണ്,భయానకంగా,डरावना
equation,சமன்பாடு,സമവാക്യം,సమీకరణం,समीकरण
angel,தேவதை,മാലാഖ,దేవదూత,देवदूत
offering,பிரசாதம்,വഴിപാട്,సమర్పణ,प्रसाद
rage,ஆத்திரம்,ക്രോധം,ఆవేశం,क्रोध
photography,புகைப்படம் எடுத்தல்,ഫോട്ടോഗ്രാഫി,ఫోటోగ్రఫీ,फोटोग्राफी
toilet,கழிப்பறை,ടോയ്ലറ്റ്,"ముఖము కడుగుకొని, తలదువ్వుకొని, దుస్తులు ధరించు పద్ధతి",शौचालय
disappointed,ஏமாற்றம்,നിരാശനായി,నిరాశ,निराश
precious,விலைமதிப்பற்ற,വിലയേറിയ,విలువైన,कीमती
prohibit,தடை,നിരോധിക്കുക,నిషేదించుట,निषेध
realistic,யதார்த்தமான,റിയലിസ്റ്റിക്,వాస్తవికమైనది,वास्तविक
hidden,மறைக்கப்பட்டுள்ளது,മറഞ്ഞിരിക്കുന്നു,దాచబడింది,छिपा हुआ
tender,ஒப்பந்தம்,ടെൻഡർ,టెండర్,नाज़ुक
gathering,கூட்டம்,ഒത്തുകൂടൽ,సేకరణ,सभा
outstanding,நிலுவை,മികച്ചത്,అసాధారణ,असाधारण
stumble,தடுமாறும்,ഇടറുക,పొరపాట్లు,ठोकर
lonely,தனிமை,ഏകാന്തമായ,ఒంటరి,अकेला
automobile,வாகனம்,ഓട്ടോമൊബൈൽ,ఆటోమొబైల్,ऑटोमोबाइल
artificial,செயற்கை,കൃതിമമായ,కృత్రిమ,कृत्रिम
dawn,விடியல்,പ്രഭാതത്തെ,తెల్లవారుజాము,भोर
abstract,சுருக்கம்,അമൂർത്തമായ,నైరూప్య,अमूर्त
descend,இறங்க,കീഴോട്ടിറങ്ങുക,దిగుతారు,उतरना
silly,முட்டாள்தனமான,നിസാരമായ,వెర్రి,नासमझ
tide,அலை,വേലിയേറ്റം,పోటు,ज्वार-भाटा
shared,பகிர்ந்து கொண்டார்,പങ്കിട്ടു,పంచుకున్నారు,साझा
hopefully,நம்பிக்கையுடன்,പ്രതീക്ഷയോടെ,ఆశాజనకంగా,उम्मीद है
readily,உடனடியாக,എളുപ്പത്തിൽ,వెంటనే,आसानी से
cooperate,ஒத்துழைக்க,സഹകരിക്കുക,సహకరించిన,सहयोग
revolutionary,புரட்சிகரமான,വിപ്ലവകാരി,విప్లవకారుడు,क्रांतिकारी
romance,காதல்,പ്രണയം,శృంగారం,रोमांस
hardware,வன்பொருள்,ഹാർഡ്വെയർ,హార్డ్వేర్,हार्डवेयर
pillow,தலையணை,തലയണ,దిండు,तकिया
kit,கிட்,കിറ്റ്,కిట్,किट
continent,கண்டம்,ഭൂഖണ്ഡം,ఖండం,महाद्वीप
seal,முத்திரை,മുദ്ര,ముద్ర,मुहर
circuit,சுற்று,സർക്യൂട്ട്,సర్క్యూట్,सर्किट
